axial	abaxial	ADJ:ADJ	ab-
Laut	ablaut	N:N	ab-
China	Chinese	N:N	-ese
Liste	listen	N:V	-en
fallen	befallen	V:V	be-
tun	betun	N:V	be-
Taiwan	Taiwaner	N:N	-er
Instrument	instrumental	N:ADJ	-al
Mut	mutig	N:ADJ	-ig
bestellen	Bestellung	V:N	-ung
Vietnam	Vietnamese	N:N	-ese
lang	langsam	ADJ:ADJ	-sam
Wissen	Wissenschaft	N:N	-schaft
England	englisch	N:ADJ	-isch
Engel	englisch	N:ADJ	-isch
schicken	Schicksal	V:N	-sal
Lette	lettisch	N:ADJ	-isch
setzen	übersetzen	V:V	über-
teilen	Teilung	V:N	-ung
abteilen	Abteilung	V:N	-ung
C	Ces	N:N	-es
Zahl	zahlen	N:V	-en
zählen	zählbar	V:ADJ	-bar
Arzt	Ärztin	N:N	-in
schlagen	beschlagen	V:V	be-
suchen	Besuch	V:N	be-
Bote	Botschaft	N:N	-schaft
stören	zerstören	V:V	zer-
Störung	Zerstörung	N:N	zer-
Zier	zierlich	N:ADJ	-lich
Rücken	zurück	N:ADV	zu-
bringen	zurückbringen	V:V	zurück-
nützlich	Nützlichkeit	ADJ:N	-keit
rauben	Räuber	V:N	-er
Spanien	spanisch	N:ADJ	-isch
Japan	japanisch	N:ADJ	-isch
gesund	Gesundheit	ADJ:N	-heit
Kitt	kitten	N:V	-en
orthodox	unorthodox	ADJ:ADJ	un-
Tier	Riesentier	N:N	riesen-
bereit	bereits	ADJ:ADV	-s
Piemont	Piemontese	N:N	-ese
Adverb	adverbial	N:ADJ	-ial
gar	ungar	ADJ:ADJ	un-
Haus	Häuschen	N:N	-chen
kleben	zusammenkleben	V:V	zusammen-
leiten	Leiter	V:N	-er
Freund	Freundin	N:N	-in
Klang	Zusammenklang	N:N	zusammen-
Mensch	übermensch	N:N	über-
Palatum	palatal	N:ADJ	-al
Abgunst	abgünstig	N:ADJ	-ig
Gunst	Missgunst	N:N	miss-
enden	beenden	N:V	be-
achten	verachten	V:V	ver-
Abscheu	verabscheuen	N:V	ver-
fühlen	Gefühl	V:N	ge-
Fundament	fundamental	N:ADJ	-al
Form	formal	N:ADJ	-al
Minister	Außenminister	N:N	außen-
Wesen	wesentlich	N:ADJ	-lich
Rippe	Gerippe	N:N	ge-
Acht	Achtung	N:N	-ung
Begriff	Grundbegriff	N:N	grund-
keilen	Keiler	V:N	-er
Kosten	kostenlos	N:ADJ	-los
Jude	jüdisch	N:ADJ	-isch
entschuldigen	Entschuldigung	V:N	-ung
Proportion	proportional	N:ADJ	-al
Gold	golden	N:ADJ	-en
übersetzen	Übersetzung	V:N	-ung
Willkür	willkürlich	N:ADJ	-lich
Weib	weiblich	N:ADJ	-lich
hören	gehören	V:V	ge-
Ehegatte	Ehegattin	N:N	-in
Gatte	Gattin	N:N	-in
Gemahl	Gemahlin	N:N	-in
wachsen	erwachsen	V:ADJ	er-
wachsen	auswachsen	V:V	aus-
stehen	aufstehen	N:V	auf-
heben	erheben	V:V	er-
sterben	versterben	V:V	ver-
führen	Führer	V:N	-er
stehen	verstehen	N:V	ver-
Magd	Mädchen	N:N	-chen
lehren	Lehrer	V:N	-er
ein	hinein	ADV:ADV	hin-
aus	hinaus	ADJ:ADV	hin-
aus	heraus	ADJ:ADV	her-
Gemüt	gemütlich	N:ADJ	-lich
lingual	bilingual	ADJ:ADJ	bi-
strafen	bestrafen	V:V	be-
verbinden	Verbindung	V:N	-ung
gewöhnlich	ungewöhnlich	ADJ:ADJ	un-
Tag	täglich	N:ADJ	-lich
Marxismus	Marxist	N:N	-ist
gehen	vorgehen	V:V	vor-
strukturiert	unstrukturiert	ADJ:ADJ	un-
vollständig	unvollständig	ADJ:ADJ	un-
feststellen	Feststellung	V:N	-ung
wiederverwendbar	Wiederverwendbarkeit	ADJ:N	-keit
Haltung	Unterhaltung	N:N	unter-
unterstützen	Unterstützung	V:N	-ung
stützen	unterstützen	V:V	unter-
abhängig	unabhängig	ADJ:ADJ	un-
sprechen	widersprechen	V:V	wider-
versorgen	Versorgung	V:N	-ung
Vielfalt	vielfältig	N:ADJ	-ig
blenden	ausblenden	V:V	aus-
fassen	umfassen	V:V	um-
ergänzen	Ergänzung	V:N	-ung
belohnen	Belohnung	V:N	-ung
fordern	erfordern	V:V	er-
wachen	überwachen	ADJ:V	über-
aufmerksam	Aufmerksamkeit	ADJ:N	-keit
Sicht	sichtbar	N:ADJ	-bar
Kapital	Kapitalismus	N:N	-ismus
ordnen	Ordnung	V:N	-ung
Etymologie	etymologisch	N:ADJ	-isch
brechen	Verbrechen	V:N	ver-
decken	entdecken	V:V	ent-
entdecken	Entdeckung	V:N	-ung
fair	unfair	ADJ:ADJ	un-
Satz	Ansatz	N:N	an-
Satan	Satanist	N:N	-ist
sexuell	homosexuell	ADJ:ADJ	homo-
Sekretär	Sekretärin	N:N	-in
abkürzen	Abkürzung	V:N	-ung
Laut	Ablaut	N:N	ab-
Analphabet	Analphabetismus	N:N	-ismus
beamen	Beamer	V:N	-er
besetzen	Besetzung	V:N	-ung
boxen	Boxer	V:N	-er
browse	Browser	V:N	-er
Gänger	Doppelgänger	N:N	doppel-
falten	Falter	V:N	-er
Farm	Farmer	N:N	-er
Franzose	Französisch	N:N	-isch
fundamental	Fundamentalist	ADJ:N	-ist
gaffen	Gaffer	V:N	-er
Hamburg	Hamburger	N:ADJ	-er
Held	Heldin	N:N	-in
lasten	Laster	V:N	-er
Lehrer	Lehrerin	N:N	-in
Lette	Lettisch	N:N	-isch
massieren	Masseur	V:N	-eur
Metall	Metaller	N:N	-er
Meter	Millimeter	N:N	milli-
Meter	Nanometer	N:N	nano-
pennen	Penner	V:N	-er
Piano	Pianist	N:N	-ist
pissen	Pisser	V:N	-er
Pop	Popper	N:N	-er
reiten	Ritter	V:N	-er
Saxophon	Saxophonist	N:N	-ist
scannen	Scanner	V:N	-er
schleppen	Schlepper	V:N	-er
singen	Singer	V:N	-er
spannen	Spanner	V:N	-er
spinnen	Spinner	V:N	-er
Student	Studi	N:N	-i
Terror	Terrorist	N:N	-ist
Laut	Umlaut	N:N	um-
Violine	Violinist	N:N	-ist
walken	Walker	V:N	-er
wandern	Wanderer	V:N	-er
weben	Weber	V:N	-er
Mensch	Übermensch	N:N	über-
Pol	polen	N:V	-en
Bronchie	bronchial	N:ADJ	-al
Italien	italienisch	N:ADJ	-isch
Frankfurt	Frankfurter	N:N	-er
Durst	durstig	N:ADJ	-ig
Regel	regelmäßig	N:ADJ	-mäßig
Insekt	Insektizid	N:N	-zid
Kram	Krämer	N:N	-er
süß	Süße	ADJ:N	-e
Obdach	obdachlos	N:ADJ	-los
fliehen	entfliehen	V:V	ent-
schneiden	Schneider	V:N	-er
Zahn	zahnlos	N:ADJ	-los
hauen	Hauer	V:N	-er
stoßen	zustoßen	V:V	zu-
stoßen	anstoßen	V:V	an-
stoßen	verstoßen	V:V	ver-
stoßen	abstoßen	V:V	ab-
geschlechtlich	ungeschlechtlich	ADJ:ADJ	un-
Geschlecht	geschlechtlich	N:ADJ	-lich
offen	öffentlich	ADJ:ADJ	-lich
stoßen	vorstoßen	V:V	vor-
sauer	Säure	ADJ:N	-e
Urin	urinieren	N:V	-ieren
schreiben	abschreiben	V:V	ab-
schreiben	anschreiben	V:V	an-
schreiben	verschreiben	V:V	ver-
schreiben	unterschreiben	V:V	unter-
schnullen	Schnuller	V:N	-er
fahren	Fahrer	V:N	-er
bauen	Bauer	V:N	-er
laufen	umlaufen	V:V	um-
laufen	zerlaufen	V:V	zer-
Bauer	Bäuerchen	N:N	-chen
Brot	Brötchen	N:N	-chen
schließen	schließlich	V:ADV	-lich
scheißen	bescheißen	V:V	be-
Blatt	Blättchen	N:N	-chen
Bote	Vorbote	N:N	vor-
Zone	Zoni	N:N	-i
Häfn	Häferl	N:N	-erl
Wanze	verwanzen	N:V	ver-
lassen	ablassen	V:V	ab-
handeln	Handlung	V:N	-ung
handeln	behandeln	V:V	be-
behandeln	Behandlung	V:N	-ung
ändern	abändern	V:V	ab-
danken	abdanken	V:V	ab-
abdanken	Abdankung	V:N	-ung
Abenteuer	Abenteurer	N:N	-er
fahren	abfahren	V:V	ab-
Fahrt	Abfahrt	N:N	ab-
lassen	loslassen	V:V	los-
lassen	verlassen	V:V	ver-
lassen	einlassen	V:V	ein-
lassen	auslassen	V:V	aus-
lassen	belassen	V:V	be-
Finanz	finanziell	N:ADJ	-ell
rühren	berühren	V:V	be-
kommen	bekommen	V:V	be-
fangen	anfangen	V:V	an-
machen	aufmachen	V:V	auf-
wohl	obwohl	ADV:U	ob-
aufklären	Aufklärung	V:N	-ung
Herd	Herde	N:N	-e
fernsehen	Fernseher	V:N	-er
fallen	gefallen	ADJ:V	ge-
kitzeln	Kitzler	V:N	-er
bringen	verbringen	V:V	ver-
stellen	bestellen	V:V	be-
recht	richtig	ADJ:ADJ	-ig
richten	unterrichten	V:V	unter-
richten	Unterricht	V:N	unter-
Gericht	Hauptgericht	N:N	haupt-
lassen	nachlassen	V:V	nach-
kürzen	abkürzen	V:V	ab-
kurz	Kürzel	ADJ:N	-el
führen	entführen	V:V	ent-
entführen	Entführung	V:N	-ung
entführen	Entführer	V:N	-er
Erfolg	erfolglos	N:ADJ	-los
durchschnittlich	überdurchschnittlich	ADJ:ADJ	über-
zählen	erzählen	V:V	er-
Heim	Heimchen	N:N	-chen
Fall	Abfall	N:N	ab-
Bild	bildlich	N:ADJ	-lich
Figur	figürlich	N:ADJ	-lich
Symbol	symbolisch	N:ADJ	-isch
tragen	übertragen	V:V	über-
Sinnbild	sinnbildlich	N:ADJ	-lich
Schmetten	Schmetterling	N:N	-ling
Strafrecht	Strafrechtler	N:N	-ler
Strafrechtler	Strafrechtlerin	N:N	-in
Schmetterling	Schmetterlingsblütler	N:N	-blütler
Hülsenfrucht	Hülsenfrüchtler	N:N	-ler
Kunst	künstlich	N:ADJ	-lich
Kunst	Künstler	N:N	-ler
decken	abdecken	V:V	ab-
Parasit	Parasitologie	N:N	-logie
Reif	reifen	N:V	-en
halten	verhalten	V:ADJ	ver-
Europa	europäisch	N:ADJ	-isch
meiden	vermeiden	V:V	ver-
rot	infrarot	N:ADJ	infra-
Marx	Marxismus	N:N	-ismus
sagen	entsagen	N:V	ent-
gern	ungern	ADV:ADV	un-
Gummibär	Gummibärchen	N:N	-chen
Mann	männlich	N:ADJ	-lich
vermitteln	Vermittlung	V:N	-ung
Sucht	süchtig	N:ADJ	-ig
mager	abmagern	ADJ:V	ab-
Taste	Tastatur	N:N	-tur
geschwind	Geschwindigkeit	ADJ:N	-igkeit
hoch	Höhe	N:N	-e
schwach	Schwäche	ADJ:N	-e
schwach	schwächlich	ADJ:ADJ	-lich
Demokrat	demokratisch	N:ADJ	-isch
Christ	christlich	N:ADJ	-lich
lateral	bilateral	ADJ:ADJ	bi-
lutschen	Lutscher	V:N	-er
Speise	Vorspeise	N:N	vor-
Kanzler	Kanzlerin	N:N	-in
Bundeskanzler	Bundeskanzlerin	N:N	-in
Teekessel	Teekesselchen	N:N	-chen
drucken	Drucker	V:N	-er
schleudern	verschleudern	V:V	ver-
tauchen	Taucher	V:N	-er
Punkt	pünktlich	N:ADJ	-lich
verwüsten	Verwüstung	V:N	-ung
wühlen	aufwühlen	V:V	auf-
Stachel	stachelig	N:ADJ	-ig
rauchen	Raucher	V:N	-er
Raucher	Nichtraucher	N:N	nicht-
räuchern	ausräuchern	V:V	aus-
Stab	Stäbchen	N:N	-chen
frech	Frechheit	ADJ:N	-heit
Nord	nördlich	N:ADJ	-lich
Süd	südlich	N:ADJ	-lich
halb	halbieren	ADJ:V	-ieren
Amerika	amerikanisch	N:ADJ	-anisch
halb	Hälfte	ADV:N	-te
Gelatine	gelatinös	N:ADJ	-ös
Gallert	gallertartig	N:ADJ	-artig
vier	vierzig	N:N	-zig
Hanf	Hänfling	N:N	-ling
wandern	Wanderung	V:N	-ung
Eichhorn	Eichhörnchen	N:N	-chen
Horn	Hörnchen	N:N	-chen
tragen	Träger	V:N	-er
Hirn	Gehirn	N:N	ge-
Hang	Anhang	N:N	an-
geringschätzen	Geringschätzung	V:N	-ung
strahlen	bestrahlen	V:V	be-
strahlen	Strahlung	V:N	-ung
strahlen	verstrahlen	V:V	ver-
