axial	abaxial	ADJ:ADJ	ab-
oral	aboral	ADJ:ADJ	ab-
moral	amoral	ADJ:ADJ	a-
cento	centavo	N:N	-avo
globo	global	N:ADJ	-al
indústria	industrial	N:ADJ	-al
mente	mental	N:ADJ	-al
música	musical	N:ADJ	-al
coro	coral	N:N	-al
mosca	mosquito	N:N	-ito
teia	tear	N:N	-ar
jurar	juramento	V:N	-mento
matar	matador	V:N	-dor
pato	pata	N:N	-a
goiano	Goiânia	ADJ:N	-ia
negociar	negociante	V:N	-ante
viagem	viajar	N:V	-ar
cultural	multicultural	ADJ:ADJ	multi-
amargo	amargura	ADJ:N	-ura
cérebro	cerebral	N:ADJ	-al
solto	soltar	ADJ:V	-ar
Itália	italiano	N:ADJ	-ano
ano	anal	N:ADJ	-al
México	mexicano	N:ADJ	-ano
estudo	estudar	N:V	-ar
porta	portal	N:N	-al
mover	movimento	V:N	-imento
agricultura	agricultural	N:ADJ	-al
ângulo	angular	N:V	-ar
ornamento	ornamental	N:ADJ	-al
data	datar	N:V	-ar
arco	arqueiro	N:N	-eiro
pagar	pagamento	N:N	-mento
abuso	abusar	N:V	-ar
cameral	bicameral	ADJ:ADJ	bi-
labial	bilabial	ADJ:ADJ	bi-
abandonar	abandonado	V:ADJ	-ado
velo	velar	V:ADJ	-ar
despertar	despertador	N:N	-dor
ala	alar	N:ADJ	-ar
raça	racismo	N:N	-ismo
corno	cornada	N:N	-ada
círculo	circular	N:ADJ	-ar
geral	geralmente	ADJ:ADV	-mente
Coreia	coreano	N:ADJ	-ano
haver	reaver	V:V	re-
Roma	romano	N:ADJ	-ano
samba	sambar	N:V	-ar
área	areal	N:ADJ	-al
feudo	feudal	N:ADJ	-al
vírus	viral	N:ADJ	-al
Macau	macaco	N:N	-aco
continente	continental	ADJ:ADJ	-al
Bolívia	boliviano	N:ADJ	-ano
raça	racial	N:ADJ	-ial
ferrar	ferradura	V:N	-dura
metacarpo	metacarpal	N:N	-al
colosso	colossal	N:ADJ	-al
incentivo	incentivar	N:V	-ar
partícula	particular	N:ADJ	-ar
cansar	descanso	V:N	des-
fronte	frontal	N:ADJ	-al
comprar	comprador	V:N	-dor
molécula	molecular	N:ADJ	-ar
dar	dado	V:ADJ	-ado
pena	penal	N:ADJ	-al
lateral	multilateral	ADJ:ADJ	multi-
interessar	interessante	V:ADJ	-ante
logia	psicologia	N:N	psico-
fuso	parafuso	N:N	para-
watt	kilowatt	N:N	kilo-
adição	adicionar	N:V	-ar
fim	finar	N:V	-ar
bacalhau	bacalhoeiro	N:N	-eiro
malte	maltose	N:N	-ose
colónia	colonial	N:ADJ	-al
município	municipal	N:ADJ	-al
bravo	bravura	U:N	-ura
séptico	septicemia	ADJ:N	-emia
Zâmbia	zambiano	N:ADJ	-ano
Zimbábue	zimbabuense	N:ADJ	-ense
zoologia	zoológico	N:ADJ	-ico
utopia	utópico	N:ADJ	-ico
útil	utilizar	ADJ:V	-izar
urgente	urgentemente	ADJ:ADV	-mente
Ucrânia	ucraniano	N:N	-ano
violeta	ultravioleta	ADJ:ADJ	ultra-
universal	universalmente	ADJ:ADV	-mente
litografia	cromo	N:N	cromo-
sol	solar	N:ADJ	-ar
solo	solar	N:N	-ar
solo	solar	N:V	-ar
sola	solar	N:V	-ar
cobrir	descobrir	V:V	des-
sábio	sabiamente	ADJ:ADV	-mente
sabor	saborear	N:V	-ear
Jamaica	jamaicano	N:ADJ	-ano
junto	juntamente	ADJ:ADV	-mente
justo	justamente	ADJ:ADV	-mente
joven	juvenil	ADJ:ADJ	-il
burla	burlar	N:V	-ar
testículo	testicular	N:ADJ	-ar
terapia	quimioterapia	N:N	quimio-
quinta	quintal	N:N	-al
kit	quitar	N:V	-ar
aliasing	anti-aliasing	N:N	anti-
falta	faltar	N:V	-ar
polar	circumpolar	ADJ:ADJ	circun-
sexual	homossexual	ADJ:ADJ	homo-
capão	capoeira	N:N	-eira
legal	ilegal	ADJ:ADJ	in-
Peru	peruano	N:ADJ	-ano
dimensão	dimensional	N:ADJ	-al
cérvice	cervical	N:ADJ	-al
brasa	brasil	N:N	-il
lateral	unilateral	ADJ:ADJ	uni-
recurso	recursivo	N:ADJ	-ivo
unir	reunir	V:V	re-
artéria	arterial	N:ADJ	-al
binóculos	binocular	N:V	-ar
América	americano	N:ADJ	-ano
registro	registrar	N:V	-ar
papal	antipapal	ADJ:ADJ	anti-
